Vehicle,Price,Year,Manufacturer,Model,Condition,Cylinders,Fuel,Odometer,Transmission,Drive,Type,Paint,State
15422,25290,2017,ford,explorer,excellent,6,gas,52852,automatic,fwd,SUV,white,fl
15423,9490,2015,dodge,journey,excellent,6,gas,114877,automatic,fwd,SUV,white,fl
15424,9990,2011,chevrolet,suburban,excellent,8,gas,199000,automatic,rwd,SUV,silver,fl
15425,3500,2000,ford,f150,good,6,gas,170000,manual,rwd,truck,white,fl
15426,14290,2017,chevrolet,malibu,excellent,4,gas,72840,automatic,fwd,sedan,silver,fl
15427,1900,2005,chevrolet,astro,good,6,gas,144000,automatic,rwd,van,white,fl
15428,13490,2010,cadillac,escalade,excellent,8,gas,190000,automatic,rwd,SUV,black,fl
15429,18890,2014,bmw,5-series,excellent,6,gas,72071,automatic,rwd,sedan,white,fl
15430,14990,2015,bmw,3-series,excellent,4,gas,98621,automatic,rwd,sedan,silver,fl
15431,8700,2001,bmw,740i,good,8,gas,149000,automatic,rwd,sedan,silver,fl
15432,30990,2011,mercedes-benz,sl-class sl 550,good,8,hybrid,51086,automatic,rwd,convertible,silver,fl
15433,17990,2016,toyota,rav4 hv,excellent,4,hybrid,115413,automatic,4wd,SUV,blue,fl
15434,12990,2014,nissan,maxima,excellent,6,gas,92241,automatic,fwd,sedan,black,fl
15435,33990,2016,chevrolet,tahoe,excellent,8,gas,110343,automatic,4wd,SUV,black,fl
15436,20990,2016,bmw,528,excellent,4,gas,58311,automatic,rwd,sedan,white,fl
15437,16990,2016,honda,cr-v,excellent,4,gas,71254,automatic,4wd,SUV,black,fl
15438,14990,2011,infiniti,qx56,excellent,8,gas,164623,automatic,rwd,SUV,brown,fl
15439,26000,2017,ford,mustang ecoboost coupe 2d,like new,4,gas,62685,automatic,rwd,coupe,blue,fl
15440,9990,2015,volkswagen,jetta,excellent,4,gas,85829,automatic,fwd,sedan,red,fl
15441,29990,2017,dodge,charger,excellent,8,gas,116887,automatic,rwd,sedan,grey,fl
15442,5800,2006,saturn,ion redline,excellent,4,gas,75350,manual,fwd,coupe,silver,fl
15443,9975,2011,buick,lucerne,excellent,6,gas,83000,automatic,fwd,sedan,custom,fl
15444,2500,2004,saturn,vue,good,4,gas,136000,manual,fwd,SUV,silver,fl
15445,4000,2011,bmw,x5 xdrive35i,like new,6,gas,112447,automatic,4wd,SUV,black,fl
15446,2500,1998,lincoln,town car,good,8,gas,244000,automatic,rwd,coupe,grey,fl
15447,35590,2017,lincoln,navigator l select sport,good,6,gas,76216,automatic,4wd,SUV,white,fl
15448,27999,2012,ford,f250 king ranch,excellent,8,diesel,260000,automatic,4wd,truck,custom,fl
15449,27000,2016,chevrolet,silverado,excellent,8,gas,146000,automatic,rwd,truck,black,fl
15450,15000,2006,ford,f550,good,8,diesel,200000,automatic,rwd,truck,red,fl
15451,4895,2009,honda,odyssey ex-l,excellent,6,gas,176754,automatic,fwd,mini-van,custom,fl
15452,3900,2000,honda,cr-v,excellent,4,gas,186500,automatic,4wd,SUV,white,fl
15453,6400,2012,toyota,prius two,good,4,gas,207000,automatic,fwd,hatchback,white,fl
15454,2000,2003,jeep,grand cherokee,fair,6,gas,200000,automatic,4wd,SUV,silver,fl
15455,8850,2007,ford,mustang gt premium,excellent,8,gas,120000,automatic,rwd,coupe,grey,fl
15456,4750,1976,chevrolet,4x4 truck,good,8,gas,88000,manual,4wd,truck,silver,fl
15457,3500,2009,dodge,nitro slt,excellent,6,gas,154000,automatic,rwd,SUV,silver,fl
15458,3500,2002,chevrolet,tahoe,excellent,8,gas,200000,automatic,rwd,SUV,green,fl
15459,3000,2004,ford,expedition,excellent,8,gas,200000,automatic,rwd,SUV,red,fl
15460,4900,2012,toyota,prius two,good,4,hybrid,208000,automatic,fwd,hatchback,white,fl
15461,8500,1993,ford,mustang gt convertible,excellent,8,gas,100000,automatic,rwd,convertible,green,fl
15462,4000,1999,ford,f450 super duty,good,8,diesel,186000,automatic,rwd,truck,white,fl
15463,15000,1988,ford,f-350,good,8,gas,9702,manual,4wd,truck,black,fl
15464,6000,2010,mini,cooper s,good,4,gas,144000,manual,fwd,hatchback,blue,fl
15465,43500,2019,ford,expedition,like new,6,gas,66000,automatic,rwd,SUV,white,fl
15466,3500,2006,nissan,pathfinder,excellent,6,gas,148000,automatic,rwd,SUV,brown,fl
15467,9900,2009,chevrolet,silverado 1500,excellent,8,gas,200000,automatic,rwd,truck,brown,fl
15468,4000,2004,ford,f-250,good,8,diesel,194000,automatic,rwd,truck,white,fl
15469,1500,2001,chevrolet,silverado,good,8,gas,280000,automatic,rwd,truck,red,fl
15470,2500,2012,chrysler,town & country,like new,6,gas,123000,automatic,fwd,mini-van,silver,fl
15471,23999,2014,cadillac,srx,excellent,6,gas,36372,automatic,fwd,SUV,brown,fl
15472,8900,1990,ford,e350,good,8,gas,153000,automatic,rwd,van,green,fl
15473,12999,2015,hyundai,elantra,excellent,4,gas,96998,automatic,fwd,sedan,red,fl
15474,3999,2007,nissan,quest sl,excellent,6,gas,147638,automatic,fwd,mini-van,white,fl
15475,9500,2009,ford,f150 lariat supercrew,excellent,8,gas,128000,automatic,rwd,truck,blue,fl
15476,6800,2003,chevrolet,trailblazer lt,good,8,gas,111000,automatic,fwd,SUV,red,fl
15477,7000,1984,pontiac,firebird,excellent,8,gas,25000,manual,rwd,hatchback,white,fl
15478,13999,2017,kia,sportage,excellent,4,gas,68056,automatic,fwd,SUV,white,fl
15479,7600,2005,ford,f250 super duty,fair,8,diesel,211000,automatic,4wd,truck,green,fl
15480,3400,1999,ford,f-150 ac,good,6,gas,233000,manual,fwd,truck,orange,fl
15481,2200,2003,ford,explorer eddie bauer,good,8,gas,236000,automatic,fwd,SUV,green,fl
15482,8500,2007,chevrolet,avalanche,good,8,gas,149200,automatic,4wd,truck,white,fl
15483,12000,2001,porsche,911 carrera,good,6,gas,141000,manual,rwd,convertible,black,fl
15484,12999,2015,hyundai,veloster,excellent,4,gas,78554,automatic,fwd,coupe,red,fl
15485,4999,2008,nissan,altima,good,4,gas,93650,automatic,fwd,sedan,white,fl
15486,8500,2008,toyota,4runner,good,6,gas,235000,automatic,fwd,SUV,black,fl
15487,12000,2003,mazda,6,good,6,gas,74828,automatic,fwd,truck,silver,fl
15488,1500,1999,ram,1500,fair,8,gas,260000,automatic,4wd,truck,green,fl
15489,21900,2001,chevrolet,corvette,excellent,8,gas,23000,manual,rwd,convertible,white,fl
15490,6100,1988,chevrolet,camaro base model,good,8,gas,1000000,automatic,rwd,coupe,black,fl
15491,9500,1989,chevrolet,corvette,excellent,8,gas,50600,automatic,rwd,convertible,red,fl
15492,5500,2004,honda,accord ex-l,like new,4,gas,146700,automatic,fwd,sedan,silver,fl
15493,4500,2013,ford,fiesta se,excellent,4,gas,144392,manual,fwd,hatchback,silver,fl
15494,3195,2006,mazda,mpv es,excellent,6,gas,126206,automatic,fwd,sedan,green,fl
